#,"How many hours a day you listen to music?","Apple Music","Amazon Music","Google Music",Spotify,SoundCloud,8tracks,VK.com,"Yandex Music",Youtube,Pandora,None,Other,"Do you listen to different music based on your mood or an activity you do?","How much does the activity (e.g. work, sport, commute, travel) you do affect your music preference?","How much does your mood affect your music preference?","If you listen to music with no headphones how do music preferences of your friends who are around affect your music selection?","How much does a location (and its ambience)Â you are in (e.g. sunny beach, rainy city park) affect your music preference?","If you have in mind other things affecting your music preference, list them here:","If you have any comments, leave them here:","Start Date (UTC)","Submit Date (UTC)","Network ID"
bca8ad22376f582f1adffa3237c92590,1,,,,Spotify,,,,,Youtube,,,,1,9,10,5,6," "," ","2017-06-07 21:10:55","2017-06-07 21:11:31",2a02:ab88:
db479d7a2b9c093763400b19e7ea7565,2,,,,Spotify,,,,,Youtube,,,,0,5,8,10,5,,,"2017-06-07 21:14:04","2017-06-07 21:15:39",0427619f46
a38c13b49e0707ef4de236f9f47809f9,2,,,,Spotify,,,,,Youtube,,,,1,9,7,7,8,"upcoming concerts",,"2017-06-07 21:37:44","2017-06-07 21:39:11",83a98dc25b
a18d315c32685f59f7eb90775385d374,2,,,,Spotify,,,VK.com,,Youtube,,,,1,9,8,9,8,"Learning languages","Stereomood was great but doesn't work anymore ðŸ˜¢","2017-06-07 22:01:44","2017-06-07 22:03:55",9a8fdb768a
efafa4cb12076655ac31ea40e7cabba3,3,,,,,,,,,Youtube,,,,1,9,9,9,7,"Emotional states like reminiscence, homesickness, etc. The country I'm in, specially if I'm trying to learn the local language. Also, I tend to pick music when I use music to learn languages. My music preference changes with the people I'm with, combined also with the type of activity we do together (dinner, exercise, etc.)","I tend to listen always to the  same playlist. But sometimes I have the feeling that I'm detached from the new stuff. Would be nice to have the possibility to listen to my playlist, but at the same time have some unexpected/suprising/new song injected to it.","2017-06-08 01:51:23","2017-06-08 02:01:24",2545faa4f4
68e6d4695edcf5239d0c6717113cb811,1,"Apple Music",,,,SoundCloud,,VK.com,"Yandex Music",Youtube,,,,1,7,7,8,8,weather,"Pasha krasavchik!","2017-06-08 03:23:37","2017-06-08 03:26:56",6813238e40
951f60fb4b1a0fa7b7c4b7749f70ff27,2,,,"Google Music",,,,VK.com,"Yandex Music",,,,,1,2,9,10,7,"Music I might have heard somewhere few minutes ago, like in a shop or cafe.",,"2017-06-08 05:37:42","2017-06-08 05:43:08",c4739b8e2d
8c9ae86961393b67643390f11eb1c0f7,6,,,,Spotify,,,,,Youtube,,,,1,7,10,7,8,"devices available, e.g. bluetooth speaker, headphones, mobile, tablet, pc","check rockmyrun, I don't know what you are doing but it might be relevant","2017-06-08 04:27:45","2017-06-08 07:08:33",733bcd4ca9
cbd2150d06981f36d5c6272c684f880e,5,,,,,,,,,Youtube,,,,1,10,10,5,10,"The time of the day",,"2017-06-08 07:31:57","2017-06-08 07:37:16",f4a464e401
031eff14103a2bccbeaa88f952c14cfc,1,,,,,,,VK.com,,,,,,1,10,5,5,7,"The fact that I have to focus on work affects in a way I don't listen music.","In general, I am not a big fan of music and probably not representative for your study.","2017-06-08 08:02:34","2017-06-08 08:11:54",ea1e2925a4
2b7cca92d3545f93e42e9d1ec6116338,4,,,,Spotify,,,,,,,,,1,8,9,7,5,,,"2017-06-08 09:28:32","2017-06-08 09:30:00",31055b5092
2fe71d3a71e22b60a1dd4a68de933051,3,,,,Spotify,,,VK.com,"Yandex Music",,,,,1,9,9,8,8,"think it similar to mood, but sometimes i listen the music from my hight school when I reminisce those times.   ",,"2017-06-08 09:31:01","2017-06-08 09:35:23",f944d88266
715a00fd6aa2756202fabea167832cc0,1,,,,Spotify,,,VK.com,,Youtube,,,,1,8,10,8,10,"time of the day, how drunk I am",,"2017-06-08 09:58:52","2017-06-08 10:03:38",ccd002739a
e21eed24e420ca7b353e4d623a8e2a2e,8,,,,Spotify,SoundCloud,,,,Youtube,,,,0,1,5,7,1,Online-offline,,"2017-06-08 10:42:16","2017-06-08 10:45:22",60fb0c7274
11c06606a310994ce468db75fc3322ec,2,,,,Spotify,SoundCloud,,VK.com,,,,,,1,8,8,6,5,,,"2017-06-08 10:44:34","2017-06-08 10:46:09",7e38ec7e89
431205feae55a75a859b97ecbeb1e114,4,,,,,SoundCloud,,,,Youtube,,,,1,4,7,9,2,,,"2017-06-08 11:21:51","2017-06-08 11:28:05",f3f213b2d9
1d380f20586414a9f1cd30ff571810a8,4,"Apple Music",,,Spotify,,,,,Youtube,,,,1,8,8,6,2,,,"2017-06-08 11:37:57","2017-06-08 11:39:49",a38f39a83a
42a610b7480533fff663797b8809b35f,5,,,,,,,,,Youtube,,,"mp3 download services (soulseek, torrents..)",0,4,8,4,2,,,"2017-06-08 11:48:34","2017-06-08 11:53:31",2741dbb3e9
fc79b87a6131c3703a620d366f5e7920,1,,,,,,,,,,,None,,1,10,10,7,6,,,"2017-06-08 12:39:37","2017-06-08 12:41:39",ccd002739a
20e170d5bc2b098c32a0dfcebace1802,1,,,"Google Music",Spotify,SoundCloud,,,,,,,,1,8,8,10,0,"The mood, is the moooooood!",,"2017-06-08 13:42:36","2017-06-08 13:44:12",8a1e9377d1
4200407b687947950829df7e2b17d30a,3,,,,Spotify,,,,,Youtube,,,,1,10,10,8,8,,,"2017-06-08 15:46:42","2017-06-08 15:48:11",106e5a9df6
d182e641e3359a7380343e6f15281a15,2,,,,Spotify,,,,,Youtube,,,,1,7,5,6,7,,,"2017-06-08 18:28:27","2017-06-08 18:34:43",cbf68a393b
379c32adcb54e875da2ad8edcb08b915,4,,,,Spotify,SoundCloud,,,,Youtube,,,,0,3,10,5,5,,,"2017-06-08 20:34:51","2017-06-08 20:37:10",2a02:8388:
f02b87ff61bf51195115f9f0c910164e,2,,,,Spotify,,,,,,,,,1,9,9,8,4,,,"2017-06-08 21:57:28","2017-06-08 21:58:38",476618249a
